-id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,N-Ped,E-Ped,S-Ped,W-Ped,N-Bike,E-Bike,S-Bike,W-Bike,lat,lon
corvallis/CMPMonitoringReport2014.txt,36th St -- Harrison Blvd / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,44,0,244,46,104,0,0,0,0,0,314,37,5,0,0,0,5,0,2,0,,
corvallis/CMPMonitoringReport2014.txt,35th St -- Harrison Blvd / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,0,0,0,0,112,162,111,3,43,219,338,1,4,3,8,6,4,0,2,2,,
corvallis/CMPMonitoringReport2014.txt,30th St -- Harrison Blvd / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,9,9,1,9,283,246,68,5,1,15,445,5,7,1,0,2,9,16,5,1,,
corvallis/CMPMonitoringReport2014.txt,29th St -- Harrison Blvd / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,197,115,56,19,341,0,8,32,17,66,355,90,7,16,3,45,2,89,7,8,,
corvallis/CMPMonitoringReport2014.txt,30th St -- Orchard Ave / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,22,224,31,6,6,9,45,83,4,5,22,7,20,35,52,69,10,58,1,1,,
corvallis/CMPMonitoringReport2014.txt,26th St -- Monroe Ave / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,6,0,4,4,64,2,26,4,14,1,108,2,15,129,42,92,65,36,5,5,,
corvallis/CMPMonitoringReport2014.txt,25th St/Park Terrace Pl -- Monroe Ave / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,11,10,7,7,60,59,12,2,0,30,89,13,100,27,66,125,69,16,56,0,,
corvallis/CMPMonitoringReport2014.txt,Kings Blvd -- Monroe Ave / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,62,0,35,27,124,0,0,0,0,0,107,11,70,131,232,149,46,0,60,0,,
corvallis/CMPMonitoringReport2014.txt,14th St -- Monroe Ave / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,11,116,5,1,113,60,29,42,70,51,76,2,40,15,28,64,12,34,47,2,,
corvallis/CMPMonitoringReport2014.txt,35th St -- Campus Way / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,21,286,25,6,2,3,67,195,16,5,4,1,58,18,13,2,27,16,1,3,,
corvallis/CMPMonitoringReport2014.txt,35th St -- Jefferson Way / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,21,234,28,9,3,8,16,283,31,1,0,4,10,13,33,0,0,6,1,17,,
corvallis/CMPMonitoringReport2014.txt,14th St -- Jefferson Way / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,41,165,9,11,24,26,16,119,16,4,10,21,89,45,285,156,2,4,14,13,,
corvallis/CMPMonitoringReport2014.txt,11th St -- Jefferson Ave / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,19,88,3,9,86,71,36,78,18,6,24,2,13,9,42,25,7,10,33,13,,
corvallis/CMPMonitoringReport2014.txt,9th Ave -- Jefferson Ave / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,64,63,29,24,78,1,1,42,2,2,18,43,5,1,16,4,7,1,23,3,,
corvallis/CMPMonitoringReport2014.txt,9th St -- Monroe Ave / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,110,158,17,10,87,7,11,84,11,10,74,21,20,19,12,7,9,2,39,3,,
corvallis/CMPMonitoringReport2014.txt,30th St -- Washington Way / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,5,104,43,45,27,4,2,112,34,32,48,16,2,47,30,42,1,4,5,23,,
corvallis/CMPMonitoringReport2014.txt,26th St -- Washington Way / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,6,27,12,19,51,48,18,47,32,33,45,9,21,170,52,128,0,23,13,60,,
corvallis/CMPMonitoringReport2014.txt,17th St -- Washington Way / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,19,0,3,9,92,11,18,0,6,6,52,13,22,178,60,0,7,0,23,0,,
corvallis/CMPMonitoringReport2014.txt,15th St -- Washington Way / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,77,114,0,0,0,0,1,219,33,15,0,51,34,67,15,79,0,15,3,50,,
corvallis/CMPMonitoringReport2014.txt,15th St -- Washington Ave / Corvallis  OR,x,Wed  Oct 29 2014,07:30-08:30,7,151,35,9,0,31,101,160,5,8,0,2,83,112,0,88,0,19,0,48,,
